"YEAR","EBS_AREA_LTE2_KM2","NBS_AREA_LTE2_KM2"
1982,211175,NA
1983,161525,NA
1984,207575,NA
1985,205000,NA
1986,257925,NA
1987,94475,NA
1988,205925,NA
1989,106025,NA
1990,177500,NA
1991,174350,NA
1992,242025,NA
1993,133375,NA
1994,259900,NA
1995,274275,NA
1996,99325,NA
1997,173125,NA
1998,100625,NA
1999,385975,NA
2000,236925,NA
2001,175550,NA
2002,101575,NA
2003,46900,NA
2004,89500,NA
2005,85700,NA
2006,244375,NA
2007,281100,NA
2008,345200,NA
2009,320075,NA
2010,269125,123953.83887372
2011,167875,NA
2012,368825,NA
2013,258450,NA
2014,128100,NA
2015,122600,NA
2016,89225,NA
2017,169150,67759.4549824042
2018,6150,NA
2019,26625,59431.6153292057
2021,58975,88690.2567220455
2022,178625,80090.5884748257
2023,179550,83797.3420296618
2024,156800,NA
